Category 	Item_Name	Notes	Kotlin	TypeScript	Swift	Scala	Go	Python	Java	Javascript	Ruby	C++	C#	R	Shell	PHP	Dart	Rust	Perl	VB	OC	Lua
BASIC	entry_point		fun main() {     println("Hello, World!") }	function main() {     console.log("Hello, World!"); }  main();																		
	hello_world		println("Hello, world!")	console.log("Hello, world!");																		
	variables_constants		var myVariable = 42 myVariable = 50 val myConstant = 42	let myVariable = 42; myVariable = 50; const myConstant = 42;																		
	explicit_types		val explicitDouble: Double = 70.0 // Boolean // Byte, Short, Int, Long, Float, Double, UByte, UShort, UInt, ULong // String // Any, Unit // Nothing // dynamic external fun require(module:String): dynamic	const explicitDouble: number = 70; // boolean // number, bigint // string // any, void // never // undefined, unknown, null, Symbol, union: string|number, string|object declare const welcome: any;																		
	tye_inference		val label = "The width is " val width = 94 val widthLabel = label + width	const label = "The width is "; const width = 94; const widthLabel = label + width;																		
	type_aliases		typealias Name = String; typealias NameResolver = () -> String;	type Name = string; type NameResolver = () => string;																		
	smart_casts		fun demo(x: Any) {     if (x is String) {         print(x.length) // x is automatically cast to String     } }	function foo2(arg: unknown) {   if (typeof arg === "string") {     // We know this is a string now.     console.log(arg.toUpperCase());   } }																		
	equality		//Structural Equality (‘==’), Referential equality (‘===’), .equals method data class User(val id: Int, val nick: String)  fun testEquals() {     val first: Any = User(1, "linux_china")     val second: Any = User(1, "linux_china")     println(first == second)  //true     println(first === second)  //false, Referential different     println(first.equals(second)) //true }	//Equals Operator ( == ), Strict Equals Operator ( === ) let a: any = 10; let b: any = "10" console.log(a == b);  //true console.log(a == b);  //true console.log(a === b); //false, type different																		
	nullable_nonnull_nullish_coalescing		val name1: String = "xx" var name2: String? = null  fun testNullable() {     name2.length //illegal     name2?.length //nullable check     name2!!.length //you know that }  // Elvis Operator val name3 = name2 ?: "good";	let name1: string = "xx" let name2: string | null = null  name2.length //null check validation let len = name2?.length //nullable check name2!.length //you know that  //Nullish Coalescing let x1 = name2 ?? "default value";																		
	string_interpolation		val apples = 3 val oranges = 5 val fruitSummary1 = "I have ${apples + oranges} pieces of fruit." val fruitSummary2 = """I have ${apples + oranges} pieces of fruit.""" val fruitSummary3 = html("""I have ${apples + oranges} pieces of fruit.""")	const apples = 3; const oranges = 5; const fruitSummary1 = `I have ${apples + oranges} pieces of fruit.`; const fruitSummary2 = html`I have ${apples + oranges} pieces of fruit.`; 																		
	range_operator		val names = arrayOf("Anna", "Alex", "Brian", "Jack") val count = names.count() for (i in 0..count - 1) {     println("Person ${i + 1} is called ${names[i]}") } // Person 1 is called Anna // Person 2 is called Alex // Person 3 is called Brian // Person 4 is called Jack	import * as _ from 'lodash'; const names = ["Anna", "Alex", "Brian", "Jack"]; const count = names.length; for (let i of _.range(0, count)) {     console.log(`Person ${i + 1} is called ${names[i]}`) } // Person 1 is called Anna // Person 2 is called Alex // Person 3 is called Brian // Person 4 is called Jack																		
	inclusive_range_operator		for (index in 1..5) {     println("$index times 5 is ${index * 5}") } // 1 times 5 is 5 // 2 times 5 is 10 // 3 times 5 is 15 // 4 times 5 is 20 // 5 times 5 is 25	import * as _ from 'lodash';  for(let index of _.range(1, 6)) {     console.log(`${index} times 5 is ${index * 5}`) } // 1 times 5 is 5 // 2 times 5 is 10 // 3 times 5 is 15 // 4 times 5 is 20 // 5 times 5 is 25																		
COLLECTIONS	arrays_list		fun main12() {     val shoppingList = arrayOf(         "catfish", "water",         "tulips", "blue paint"     )     shoppingList[1] = "bottle of water"     val freezeList = listOf("first", "second", "third")     val mutableList = mutableListOf("first", "second", "third") }	let shoppingList = ["catfish", "water",     "tulips", "blue paint"]; shoppingList[1] = "bottle of water";																		
	set		val set1 = setOf(1 , 2 , 3 , 4 , 3) val mutableSet = mutableSetOf(1 , 2 , 3 , 4 , 3);	let mySet = new Set(); //ES2015 mySet.add(1); mySet.delete(1)																		
	stream_sequence		val wordsSequence = listOf("one", "two", "three", "four").asSequence() val list2 = wordsSequence     .filter { println("filter: $it"); it.length > 3 }     .map { println("length: ${it.length}"); it.length }     .toList()	let words = ["catfish", "water", "tulips", "blue paint"]; let list2 = words.filter(word => {     return word.length > 3; }).map(word => {     return word.length });																		
